top_words
"['ve', 'refund', 'cancel', 'request', 'invoic', 'number', 'reason', 'subscript', 'thi', 'charg', 'pleas', 'hi', 'account', 'thank', 'use', 'wa', 'month', 'time', 'tri', 'just', 'renew', 'canva', 'trial', 'got', 'pro', 'like', 'did', 'day', 'befor', 'need']"
"['longer', 'refund', 'invoic', 'number', 'request', 'reason', 'use', 'need', 'canva', 'cancel', 'subscript', 'thi', 'want', 'servic', 'pro', 'ani', 'wa', 'charg', 'like', 'forgot', 'pleas', 'account', 'thought', 'renew', 'trial', 'plan', 'afford', 'month', 'sorri', 'day']"
"['busi', 'refund', 'thi', 'invoic', 'number', 'request', 'reason', 'pleas', 'use', 'account', 'covid', 'wa', 'person', 'thank', 'subscript', 'need', 'card', 'canva', 'cancel', 'ha', 'just', 'close', 'charg', 'receiv', 'time', 'work', 'want', 'forgot', 'renew', 'trial']"
"['wish', 'refund', 'request', 'number', 'invoic', 'reason', 'continu', 'subscript', 'thi', 'did', 'cancel', 'pleas', 'thank', 'trial', 'use', 'canva', 'pro', 'charg', 'renew', 'servic', 'free', 'wa', 'payment', 'subscrib', 'thought', 'hello', 'reimburs', 'month', 'automat', 'pay']"
"['withdrawn', 'money', 'number', 'account', 'wa', 'refund', 'request', 'reason', 'subscript', 'return', 'problem', 'use', 'cancel', 'pleas', 'fatura', 'did', 'applic', 'want', 'fund', 'ask', 'card', 'invoic', 'thi', 'describ', 'trial', 'need', 'pro', 'ha', 'hello', 'januari']"
"['awar', 'wa', 'refund', 'request', 'invoic', 'number', 'reason', 'subscript', 'use', 'renew', 'wasn', 'thi', 'canva', 'automat', 'charg', 'subscrib', 'pleas', 'trial', 'cancel', 'pro', 'servic', 'thank', 'premium', 'like', 'afford', 'free', 'year', 'hi', 'account', 'hello']"
"['paid', 'problem', 'describ', 'subscript', 'kind', 'pro', 'issu', 'wa', 'use', 'accident', 'canva', 'work', 'did', 'money', 'annual', 'hello', 'refund', 'pleas', 'cancel', 'plan', 'doe', 'month', 'want', 'year', 'function', 'account', 'type', 'help', 'let', 'version']"
"['anymor', 'refund', 'use', 'invoic', 'number', 'request', 'reason', 'canva', 'want', 'need', 'thi', 'cancel', 'subscript', 'don', 'dont', 'like', 'charg', 'pleas', 'account', 'money', 'forgot', 'thank', 'wa', 'did', 'pro', 'month', 'didn', 'year', 'wo', 'help']"
"['stop', 'problem', 'issu', 'kind', 'describ', 'charg', 'pleas', 'subscript', 'canva', 'refund', 'thi', 'account', 'want', 'card', 'cancel', 'money', 'use', 'number', 'invoic', 'pro', 'month', 'need', 'request', 'monthli', 'like', 'continu', 'did', 'reason', 'payment', 'alreadi']"
"['afternoon', 'problem', 'good', 'relat', 'describ', 'subscript', 'money', 'wa', 'debit', 'cancel', 'pro', 'card', 'return', 'trial', 'applic', 'account', 'use', 'period', 'version', 'canva', 'rubl', 'turn', 'charg', 'thi', 'payment', 'activ', 'ask', 'withdrawn', 'did', 'like']"
