top_words
"['gone', 'help', 'templat', 'problem', 'kind', 'issu', 'work', 'design', 'year', 'describ', 'need', 'hello', 'pleas', 'happen', 'team', 'ha', 'stuff', 'import', 'silent', 'resum', 'radio', 'wa', 'use', 'ent', 'account', 'rep', 'veri', 'recov', 've', 'delet']"
"['write', 'problem', 'describ', 'type', 'kind', 'want', 'issu', 'post', 'anyth', 'prevent', 'know', 'letter', 'big', 'calendar', 'comment', 'present', 'goe', 'recogn', 'becam', 'english', 'someth', 'knowledg', 'let', 'ok', 'whi', 'subscript', 'canva', 'rectangl', 'box', 'support']"
"['kit', 'brand', 'issu', 'problem', 'describ', 'kind', 'pro', 'account', 'use', 'gone', 'doubt', 'sever', 'team', 'restor', 'design', 'help', 'canva', 'abl', 'number', 'need', 'logo', 'peopl', 'user', 'anyth', 'possibl', 'plan', 'asset', 'hi', 'thank', 'downgrad']"
"['respond', 'email', 'issu', 'problem', 'kind', 'describ', 'pleas', 'sent', 'immedi', 'thi', 'send', 'someon', 'nobodi', 'ticket', 'tab', 'click', 'whi', 'wa', 'charg', 'reflect', 'screenshot', 'effect', 'background', 'pro', 'share', 'account', 'reduc', 'touch', 'bank', 'actual']"
"['someth', 'went', 'wrong', 'sorri', '500', 'error', 'code', 'includ', 'issu', 'kind', 'problem', 'describ', 'messag', '400', 'pleas', 'templat', 'say', 'open', 'ca', 'tri', 'sent', 'edit', 'use', 'file', '503', 'thi', 'canva', 'persist', 'search', 'click']"
"['refund', 'issu', 'money', 'kind', 'describ', 'problem', 'did', 'need', 'pl', 'account', 'hate', 'realli', 'cancel', 'order', 'case', 'figur', 'anyth', 'subscript', 'don', 'password', 'thi', 'close', 'pleas', 'sue', 'site', 'differ', 'shit', 'help', 'fuck', 'card']"
"['credit', 'problem', 'canva', 'did', 'describ', 'earn', 'wa', 'issu', 'use', 'refer', 'explain', 'friend', 'charg', 'kind', 'claim', 'purchas', 'type', 'answer', 'redeem', 'high', 'pleas', 'free', 'channel', 'want', 'account', 'thank', 'month', 'neg', 'authoris', 'know']"
"['content', 'planner', 'problem', 'kind', 'team', 'describ', 'issu', 'post', 'log', 'hello', 'schedul', 'thi', 'pleas', 'canva', 'thank', 'chang', 'review', 'access', 'duplic', 'march', 'fix', 'help', 'use', 'folder', 'day', 'pro', 'trial', 'creat', 'black', 'histori']"
"['camera', 'microphon', 'roll', 'access', 'issu', 'kind', 'problem', 'describ', 'mic', 'photo', 'open', 'need', 'nt', 'record', 'mu', 'turn', 'voic', 'unlock', 'set', 'app', 'canva', 'block', 'help', 'dont', 'today', 'recogn', 'allow', 'cell', 'revers', 'share']"
"['sticker', 'problem', 'kind', 'issu', 'describ', 'element', 'print', 'exampl', 'survey', 'like', 'price', 'know', 'weird', 'make', 'type', 'squar', 'choic', 'cooki', 'smaller', 'roll', 'attach', 'send', 'chosen', 'circl', 'miss', 'mani', 'figur', 'plan', 'wont', 'everyth']"
"['spell', 'check', 'problem', 'describ', 'issu', 'correct', 'kind', 'thank', 'word', 'pleas', 'error', 'doe', 'care', 'work', 'mayb', 'miss', 'suggest', 'type', 'mistak', 'complianc', 'allow', 'lot', 'right', 'major', 'instead', 'failur', 'gratitud', 'click', 'caus', 'someth']"
"['resiz', 'issu', 'problem', 'kind', 'describ', 'ca', 'exampl', 'text', 'anyth', 'label', 'zone', 'fuck', 'need', 'border', 'size', 'posit', 'postcard', 'project', 'desir', 'ani', 'hi', 'android', 'difficult', 'sentenc', 'photo', 'thing', 'limit', 'troubl', 'help', 'laptop']"
"['manag', 'help', 'need', 'page', 'account', 'issu', 'problem', 'know', 'kind', 'describ', 'notif', 'ca', 'speak', 'subscript', 'limit', 'post', 'yesterday', 'phone', 'file', 'receiv', 'paus', 'number', 'delet', 'thi', 'anoth', 'ha', 'enterpris', 'doesnt', 'goe', 'itun']"
"['qr', 'code', 'work', 'problem', 'kind', 'issu', 'gener', 'describ', 'link', 'websit', 'creat', 'wont', 'reader', 'imposs', 'sync', 'directli', 'icon', 'use', 'wo', 'document', 'allow', 'reason', 'read', 'url', 'abl', 'new', 've', 'access', 'design', 'tri']"
"['alert', 'autofocu', 'onfocus', 'issu', 'kind', 'describ', 'problem', 'attempt', 'secur', 'log', 'come', 'way', 'account', 'canva']"
