top_words
"['qualiti', 'save', 'poor', 'problem', 'low', 'high', 'describ', 'kind', 'veri', 'imag', 'type', 'logo', 'issu', 'pictur', 'bad', 'download', 'good', 'whi', 'share', 'deterior', 'onc', 'png', 'look', 'file', 'thi', 'blur', 'drop', 'design', 'hi', 'fix']"
"['abl', 'issu', 'save', 'kind', 'problem', 'describ', 'edit', 'design', 'video', 'anyth', 'help', 'download', 'text', 'file', 'work', 'im', 'hi', 'old', 'pdf', 'pleas', 'pull', 'wa', 'featur', 'select', 'document', 'let', 'place', 'plz', 'open', 'templat']"
"['refresh', 'page', 'save', 'error', 'issu', 'problem', 'design', 'tri', 'kind', 'describ', 'say', 'work', 'edit', 'messag', 'doe', 'open', 'restart', 'download', 'time', 'ha', 'come', 'access', 'close', 'noth', 'tell', 'thi', 'comput', 'file', 'continu', 'ca']"
"['write', 'problem', 'save', 'describ', 'design', 'type', 'kind', 'imag', 'time', 'onli', 'chang', 'space', 'posit', 'edit', 'shift', 'hello', 'block', 'updat', 'send', 'flip', 'wa', 'letter', 'thank', 'doe', 'issu', 'differ', 'solv', 'saw', 'possibl', 'messi']"
"['resiz', 'issu', 'problem', 'kind', 'describ', 'anyth', 'work', 'let', 'text', 'element', 'imag', 'shape', 'ca', 'graphic', 'doe', 'whi', 'arrow', 'project', 'canva', 'unabl', 'tri', 'design', 'logo', 'click', 'sudden', 'wo', 'abl', 'make', 'copi', 'photo']"
"['lose', 'save', 'work', 'problem', 'issu', 'chang', 'kind', 'describ', 'recent', 'paus', 'say', 'want', 'manual', 'download', 'type', 'design', 'everyth', 'connect', 've', 'help', 'pleas', 'wo', 'document', 'error', 'reload', 'ca', 'page', 'just', 'messag', 'tell']"
"['link', 'save', 'problem', 'issu', 'describ', 'kind', 'work', 'design', 'doe', 'present', 'click', 'type', 'url', 'download', 'help', 'document', 'websit', 'hello', 'edit', 'embed', 'activ', 'ad', 'thi', 'open', '100', 'tri', 'error', 'fb', 'receiv', 'unabl']"
"['print', 'save', 'problem', 'pdf', 'kind', 'describ', 'design', 'download', 'issu', 'complet', 'type', 'file', 'need', 'size', 'abl', 'know', 'tri', 'just', 'doe', 'cmyk', 'page', 'bleed', 'help', 'folder', 'want', 'distort', 'program', 'unabl', 'resum', 'togeth']"
"['wo', 'save', 'issu', 'kind', 'describ', 'problem', 'design', 'tri', 'open', 'download', 'say', 'error', 'manual', 'allow', 'music', 'present', 've', 'document', 'edit', 'canva', 'work', 'load', 'sever', 'anyth', 'need', 'hello', 'project', 'fine', 'item', 'becaus']"
"['box', 'text', 'problem', 'resiz', 'kind', 'issu', 'describ', 'wo', 'edit', 'work', 'lock', 'let', 'start', 'tri', 'posit', 'element', 'select', 'enlarg', 'save', 'ca', 'want', 'project', 'present', 'type', 'design', 'dure', 'fine', 'rescu', 'allow', 'websit']"
"['switch', 'version', 'old', 'mobil', 'help', 'canva', 'need', 'want', 'problem', 'new', 'kind', 'issu', 'interfac', 'like', 'option', 'describ', 'thi', 'abl', 'app', 'ca', 'origin', 'pleas', 'explain', 'know', 'anoth', 'use', 'hard', 'prefer', 'applic', 'downgrad']"
"['devic', 'save', 'problem', 'kind', 'describ', 'issu', 'design', 'download', 'ca', 'io', 'work', 'photo', 'upload', 'canva', 'project', 'wont', 'file', 'internet', 'archiv', 'document', 'ruin', 'mani', 'doe', 'everyth', 'mobil', 'account', 'incorrectli', 'whi', 'visibl', 'paid']"
"['desktop', 'save', 'problem', 'kind', 'issu', 'describ', 'download', 'want', 'design', 'file', 'phone', 'app', 'folder', 'pleas', 'video', 'doe', 'work', 'project', 'select', 'ca', 'mobil', 'tri', 'frustrat', 'got', 'let', 'know', 'appear', 'power', 'unabl', 'explain']"
"['retriev', 'problem', 'issu', 'save', 'kind', 'design', 'describ', 'way', 'wa', 'work', 'delet', 'gone', 'creat', 'document', 'present', 'did', 'help', 'know', 'need', 'hour', 'didnt', 'templat', 'folder', 'slide', 'ani', 'like', 'type', 'lost', 'miss', 'hi']"
"['upgrad', 'pro', 'tri', 'problem', 'issu', 'help', 'kind', 'describ', 'need', 'ca', 'error', 'plan', 'pleas', 'fail', 'messag', 'canva', 'hi', 'type', 'slow', 'abl', 'app', 'let', 'horribl', 've', 'save', 'wont', 'option', 'version', 'whi', 'ditt']"
"['wrong', 'someth', 'went', 'save', 'problem', 'issu', 'download', 'kind', 'describ', 'tri', 'say', 'design', 'thi', 'file', 'type', 'sorri', 'press', '503', 'got', 'open', 'pleas', 'distort', 'size', 'text', 'correctli', 'want', 'proport', 'let', 'goe', 'help']"
"['stuck', 'download', 'issu', 'problem', 'kind', 'prepar', 'describ', 'end', '99', 'design', 'progress', 'mp4', 'save', 'dure', '100', 'bar', 'pleas', 'time', 'tri', 'minut', 'middl', 'ca', 'use', 'articl', 'doesnt', '10', 'complet', 'alway', 'anim', 'lot']"
"['jpg', 'save', 'problem', 'png', 'file', 'pdf', 'describ', 'kind', 'issu', 'want', 'download', 'format', 'design', 'type', 'ca', 'chang', 'share', 'wa', 'mp4', 'tri', 'need', 'automat', 'px', 'text', 'choos', 'network', 'displac', 'doe', 'program', 'actual']"
"['blurri', 'save', 'imag', 'problem', 'describ', 'kind', 'issu', 'photo', 'becom', 'come', 'look', 'type', 'unclear', 'onc', 'galleri', 'littl', 'thi', 'poster', 'veri', 'solv', 'phone', 'clear', 'qualiti', 'design', 'sharp', 'way', 'total', 'help', 'preserv', 'whi']"
"['powerpoint', 'present', 'save', 'problem', 'download', 'kind', 'issu', 'format', 'describ', 'thi', 'file', 'display', 'microsoft', 'like', 'ca', 'ppt', 'pleas', 'open', 'share', 'option', 'work', 'error', 'help', 'did', 'direct', 'type', 'tri', 'red', 'descript', 'transfer']"
"['pc', 'save', 'problem', 'describ', 'kind', 'type', 'design', 'need', 'project', 'issu', 'version', 'pdf', 'ca', 'look', 'mobil', 'edit', 'file', 'open', 'thi', 'download', 'video', 'load', 'whi', 'dropbox', 'librari', 'didnt', 'turn', 'doe', 'alway', 'arent']"
"['png', 'save', 'problem', 'file', 'describ', 'issu', 'type', 'kind', 'download', 'imag', 'zip', 'design', 'compress', 'instead', 'page', 'line', 'editor', 'open', 'tri', 'emoticon', 'messi', 'poster', 'mode', 'bring', 'need', 'number', 'select', 'ca', 'thi', 'make']"
"['laptop', 'save', 'issu', 'design', 'problem', 'kind', 'describ', 'restart', 'phone', 'download', 'open', 'work', 'chang', 'canva', 'differ', 'want', 'mobil', 'use', 'thi', 'notic', 'file', 'help', 'abl', 'format', 'say', 'make', 'appear', 'sign', 'edit', 'complet']"
"['cv', 'problem', 'backup', 'type', 'save', 'describ', 'thank', 'pdf', 'kind', 'download', 'hello', 'regist', 'befor', 'creat', 'make', 'want', 'modifi', 'design', 'hi', 'issu', 'longer', 'chang', 'edit', 'necessari', 'gone', 'help', 'follow', 'page', 'site', 'abl']"
"['freez', 'code', 'qr', 'problem', 'save', 'kind', 'issu', 'describ', 'gener', 'load', 'add', 'doe', 'crash', 'type', 'tri', 'wont', 'work', 'design', 'run', 'messag', 'explan', 'reflect', 'creat', 'point', 'lag', 'let', 'error', 'ppt', 'month', 'thi']"
"['flyer', 'save', 'issu', 'kind', 'problem', 'describ', 'creat', 'error', 'download', 'open', 'revis', 'design', 'chang', 'folder', 'edit', 'work', 'tri', 'need', 'hello', 'pc', 'help', 'day', 'make', 'abl', 'archiv', 'wont', 'account', 'state', 'accident', 'mix']"
"['don', 'save', 'know', 'issu', 'understand', 'problem', 'kind', 'describ', 'look', 'app', 'design', 'element', 'color', 'whi', 'download', 'imag', 'pictur', 'ebook', 'option', 'wrong', 'text', 'ipad', 'appear', 'chang', 'hd', 'come', 'time', 'thi', 'use', 'old']"
"['infograph', 'problem', 'save', 'describ', 'type', 'kind', 'know', 'wa', 'edit', 'work', 'templat', 'ca', 'doe', 'design', 'program', 'creat', 'return', 'correct', 'allow', 'point', 'previou', 'finish', 'issu', 'studi', 'cut', 'look', 'want', 'everyth', 'time', 'recov']"
